時間,顏色,型號,尺寸,厚度標準值(mm),厚度公差(mm),第1象限,第2象限,第3象限,第4象限,厚度結果(mm),厚度判定,外徑標準值(mm),外徑公差(mm),0~180,23~203,45~225,68~248,90~270,113~293,135~315,158~338,外徑結果(mm),外徑判定
16:18:14,Gray,E,150,9.2,0.7,7.09,8.99,9.85,7.7,8.41,NG,165,1,161.88,160.85,160.14,159.96,160.34,161.09,161.77,162.18,161.03,NG
16:24:44,Gray,E,150,9.2,0.7,7.2,9.07,9.58,7.58,8.36,NG,165,1,161.88,160.89,159.83,159.57,160.02,160.99,161.62,161.93,160.84,NG
16:31:14,Gray,E,150,9.2,0.7,7.03,8.95,9.54,7.32,8.21,NG,165,1,161.88,161.09,160.07,159.57,160.12,160.89,161.77,162.18,160.95,NG
16:37:44,Gray,E,150,9.2,0.7,7.57,9.07,9.5,7.43,8.39,NG,165,1,161.99,160.95,160.14,159.91,160.34,161.09,161.77,162.18,161.05,NG
16:42:47,Gray,E,150,9.2,0.7,7.19,9.17,9.54,7.37,8.32,NG,165,1,162.98,161.93,161.31,160.99,161.44,162.17,163.01,163.5,162.17,NG
16:49:14,Gray,E,150,9.2,0.7,7.59,9.05,9.85,7.66,8.54,NG,165,1,162.65,161.58,160.76,160.51,161,161.78,162.32,162.66,161.66,NG
16:57:14,Gray,E,150,9.2,0.7,7.09,9.05,9.64,7.45,8.31,NG,165,1,162.21,161.29,160.53,160.3,160.78,161.54,162.24,162.42,161.41,NG
17:03:44,Gray,E,150,9.2,0.7,7.32,9.07,9.58,7.38,8.34,NG,165,1,162.76,161.93,161.23,160.99,161.33,162.07,162.7,163.11,162.02,NG
17:10:14,Gray,E,150,9.2,0.7,7.04,9,9.77,7.47,8.32,NG,165,1,161.66,160.7,159.91,159.57,160.02,160.7,161.54,161.79,160.74,NG
17:15:35,Gray,E,150,9.2,0.7,7.06,8.89,9.72,7.33,8.25,NG,165,1,162.32,161.33,160.53,160.16,160.67,161.33,162.08,162.48,161.36,NG
,,,,單日厚度量測平均,,7.27 ,9.04 ,9.65 ,7.56 ,8.38 ,,單日外徑量測平均,,162.39 ,161.44 ,160.53 ,162.86 ,160.60 ,161.44 ,162.24 ,162.62 ,161.76 ,
,,,,Max,,10.03,10.66,12.14,8.69,9.17,,Max,,163.52,163.11,161.62,176,161.55,162.41,163.32,167.49,163.48,
,,,,Min,,6.74,8.78,9.34,7.24,8.11,,Min,,161.11,160.25,159.37,159.08,159.47,160.25,161,161.34,160.23,
