時間,顏色,型號,尺寸,厚度標準值(mm),厚度公差(mm),第1象限,第2象限,第3象限,第4象限,厚度結果(mm),厚度判定,外徑標準值(mm),外徑公差(mm),0~180,23~203,45~225,68~248,90~270,113~293,135~315,158~338,外徑結果(mm),外徑判定
03:45:17,Gray,E,150,9.2,0.7,7.07,9.12,9.5,7.45,8.29,NG,165,1,162.1,160.85,159.83,159.71,160.02,160.85,161.93,162.18,160.93,NG
03:51:41,Gray,E,150,9.2,0.7,7.09,8.95,9.49,7.38,8.23,NG,165,1,162.1,161.09,160.22,159.71,160.12,160.99,161.93,162.28,161.06,NG
03:58:05,Gray,E,150,9.2,0.7,8.02,8.89,9.47,7.45,8.46,NG,165,1,162.65,161.68,160.69,160.02,160.56,161.48,162.16,162.87,161.51,NG
04:04:29,Gray,E,150,9.2,0.7,8.29,8.91,9.54,7.47,8.55,NG,165,1,163.2,162.31,161.46,160.99,161.22,162.03,162.86,163.26,162.17,NG
04:10:53,Gray,E,150,9.2,0.7,7.24,8.96,9.52,7.38,8.28,NG,165,1,161.88,161.05,160.14,159.71,160.12,160.95,161.93,162.07,160.98,NG
04:17:17,Gray,E,150,9.2,0.7,7.31,8.8,9.43,7.4,8.24,NG,165,1,162.1,161.09,160.14,159.81,160.23,160.99,161.93,162.28,161.07,NG
04:23:41,Gray,E,150,9.2,0.7,7.09,8.92,9.45,7.5,8.24,NG,165,1,162.65,161.78,160.76,160.51,160.89,161.68,162.55,162.91,161.72,NG
04:30:05,Gray,E,150,9.2,0.7,7.13,8.96,9.47,7.47,8.26,NG,165,1,162.87,161.78,160.92,160.4,160.89,161.68,162.63,163.11,161.79,NG
04:36:29,Gray,E,150,9.2,0.7,7.09,9.08,9.45,7.55,8.29,NG,165,1,162.43,161.68,160.84,160.51,160.89,161.68,162.55,162.91,161.69,NG
04:42:53,Gray,E,150,9.2,0.7,7.26,9,9.57,7.85,8.42,NG,165,1,162.76,162.07,161.46,160.85,161.33,162.17,162.86,163.11,162.08,NG
04:49:17,Gray,E,150,9.2,0.7,7.15,8.85,9.55,7.4,8.24,NG,165,1,163.52,162.41,161.31,160.89,161.22,162.17,163.01,163.46,162.25,NG
04:55:41,Gray,E,150,9.2,0.7,7.11,9,9.67,7.49,8.32,NG,165,1,162.87,161.93,161,160.65,161,162.03,162.7,163.15,161.92,NG
